ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
3836,Earlylds,S1782,,,"LDS - The Wasp",,"Early LDS Periodical published in Nauvoo, Illinois",,,,,,"0000-00-00 00:00:00",Larry
3923,Earlylds,S1869,,,"LDS - Millenial Star",,"Early LDS Periodical published in England",,,,,REPO2,"0000-00-00 00:00:00",Larry
3956,Earlylds,S1902,,,"Book - History of Utah, 4 vols.","Whitney, Orson F.","George Q. Cannon and Sons, Publishers, 1904",,,,,REPO2,"0000-00-00 00:00:00",Larry
3997,Earlylds,S1943,,,"Database - Sons of Utah Pioneers Memorial Gallery Index Cards","Sons of Utah Pioneers",,,,,,REPO8,"0000-00-00 00:00:00",Larry
3999,Earlylds,S1945,,,"Database - Iowa Cemetery Records","Works Progress Administration",,,,,,REPO8,"0000-00-00 00:00:00",Larry
4008,Earlylds,S1954,,,"Internet Link - Eastern Idaho Death Records","BYU Idaho",,,,,,REPO17,"2008-10-23 03:58:19",Larry
4009,Earlylds,S1955,,,"Database - Pioneer Immigrants to Utah Territory","Sons of the Utah Pioneers",,,,,,REPO8,"0000-00-00 00:00:00",Larry
4010,Earlylds,S1956,,,"Internet Link - Early Utah Pioneers - Levi Hammon and Polly Chapman Bybee","Betsy Robena H. Greenwell","Kaysville, Utah : Inland Printing, [1964?]",,,,,,"2008-10-23 03:57:40",Larry
4227,Earlylds,S2173,"929.273 R569a",,"Book - The Illustrious Robisons, 2 vols","Matheson, Veldron Robison",1907,,,,,REPO4,"0000-00-00 00:00:00",Larry
4327,Earlylds,S2273,,,"Periodical - BYU Studies",,"Brigham Young University, Provo, Utah",,,,,REPO2,"0000-00-00 00:00:00",Larry
4523,Earlylds,S2469,,,"Book - Women's Voices:  An Untold History of the Latter-day Saints, 1830â€“1900","Godfrey, Kenneth W. and Godfrey, Audrey, compilers and editors","Deseret Book, Salt Lake City, Utah, 1982",,,,,REPO2,"0000-00-00 00:00:00",Larry
4562,Earlylds,S2508,"BX 8670 .M454f 1999",,"Book - Five Hundred Wagons Stood Still: Mormon Batallion wives","Maynes, Shirley N.","Sandy, Utah : S. Maynes, c1999
.",,,,,REPO2,"0000-00-00 00:00:00",Larry
